ZOOMA QUERY	MAPPED_TERM_LABEL	MAPPED_TERM_URI	MAPPING_TYPE	ICD10_CODE/SELF_REPORTED_TRAIT_FIELD_CODE	COMMENTS/TICKET	AI
Other rickettsioses	rickettsiosis	EFO_1001162	Exact	A79	DONE	
Secondary parkinsonism	secondary Parkinson disease	EFO_1001175	Exact	G21	DONE	
Viral meningitis	viral meningitis	EFO_1001236	Exact	A87	DONE	
Vitamin A deficiency	vitamin A deficiency	EFO_1001237	Exact	E50	DONE	
Spontaneous abortion	spontaneous abortion	EFO_1001255	Exact	O03	DONE	
Phlebitis and thrombophlebitis	phlebitis || Thrombophlebitis	EFO_1001395, HP_0004418	Exact	I80	DONE	
Unspecified renal colic	renal colic	EFO_1001412	Exact	N23	DONE	
Taeniasis	taeniasis	EFO_1001433	Exact	B68	DONE	
Synovitis and tenosynovitis	tenosynovitis	EFO_1001435	Exact	M65	DONE	
Schistosomiasis	schistosomiasis	EFO_1001475	Exact	B65	DONE	
Unspecified abortion	abortion	EFO_1001491	Exact	O06	DONE	
Femoral hernia	femoral hernia	EFO_1001791	Exact	K41	DONE	
Ventral hernia	ventral hernia	EFO_1001866	Exact	K43	DONE	
Amyloidosis	amyloidosis	EFO_1001875	Exact	E85	DONE	
Cicatricial alopecia	cicatrical alopecia	EFO_1002028	Exact	L66	DONE	
Other disorders of nervous system	nervous system disease	EFO_0000618	Exact	G98	DONE	
Polyuria	polyuria	HP_0000103	Exact	R35	DONE	
Pruritus	prutitus	HP_0000989	Exact	L29	DONE	
Nausea and vomiting	nausea and vomiting	HP_0002017	Exact	R11	DONE	
Peptic ulcer site unspecified	peptic ulcer	HP_0004398	Exact	K27	DONE	
Erythema nodosum	erythema nodosum	HP_0012219	Exact	L52	DONE	
Oesophagitis	esophagitis	HP_0100633	Exact	K20	DONE	
Common variable immunodeficiency	common variable immunodeficiency	Orphanet_1572	Exact	D83	DONE	
Adrenogenital disorders	adrenogenital syndrome	Orphanet_181412	Exact	E25	DONE	
Sickle cell disorders	sickle cell anemia	Orphanet_232	Exact	D57	DONE	
Congenital malformations of great veins	congenital anomaly of the great veins	Orphanet_363189	Exact	Q26	DONE	
Huntington s disease	Huntington disease	Orphanet_399	Exact	G10	DONE	
Cystic fibrosis	cystic fibrosis	Orphanet_586	Exact	E84	DONE	
Hypertrichosis	Hypertrichosis	Orphanet_79365	Exact	L68	DONE	
Sarcoidosis	sarcoidosis	Orphanet_797	Exact	D86	DONE	
Turner s syndrome	Turner syndrome	Orphanet_881	Exact	Q96	DONE	
Congenital malformations of great arteries	congenital anomaly of the great arteries	Orphanet_98724	Exact	Q25	DONE	
Hereditary factor VIII deficiency	hemophilia A	Orphanet_98878	Exact	D66	DONE	
Hereditary factor IX deficiency	hemophilia B	Orphanet_98879	Exact	D67	DONE	
Congenital malformations of cardiac chambers and connections	congenital heart malformation	EFO_0005269	Broad	Q20	DONE	
Acute nephritic syndrome	nephritis	EFO_1002050	Broad	N00	DONE	
Keratitis	keratitis	EFO_0009449	Exact	H16	DONE	
Conjunctivitis	conjunctivitis	EFO_0009450	Exact	H10	DONE	
Hypoparathyroidism	hypoparathyroidism	EFO_0009451	Exact	E20	DONE	
Hyperaldosteronism	hyperaldosteonism	EFO_0009452	Exact	E26	DONE	
Hemiplegia	hemiplagia	EFO_0009453	Exact	G81	DONE	
Gastric ulcer	gastric ulcer	EFO_0009454	Exact	K25	DONE	
Disorders of lacrimal system	lacrimal apparatus disease	EFO_0009455	Exact	H04	DONE	
Exfoliative dermatitis	exfoliative dermatitis	EFO_0009456	Exact	L26	DONE	
Apocrine sweat disorders	apocrine sweat gland disease	EFO_1002046	Exact	L75	DONE	
Spotted fever	spotted fever	EFO_1002047	Exact	A77	DONE	
Unspecified nephritic syndrome	nephritis	EFO_1002050	Exact	N05	DONE	
Facial nerve disorders	facial nerve disease	EFO_1002051	Exact	G51	DONE	
Essential primary hypertension	primary hypertension	EFO_1002032	Exact	I10	DONE	
Congenital malformations of uterus and cervix	Abnormality of female internal genitalia	HP_0000008	Broad	Q51	DONE	
Abnormal findings in specimens from female genital organs	Abnormality of female internal genitalia	HP_0000008	Broad	R87	DONE	
Other congenital malformations of male genital organs	Abnormality of male internal genitalia	HP_0000022	Broad	Q55	DONE	
Abnormal findings in specimens from male genital organs	Abnormality of male internal genitalia	HP_0000022	Broad	R86	DONE	
Congenital lens malformations	Abnormality of the lens	HP_0000517	Broad	Q12	DONE	
Congenital malformations of eyelid lacrimal apparatus and orbit	Abnormal nasolacrimal system morphology	HP_0000614	Broad	Q10	DONE	
Enduring personality changes not attributable to brain damage and disease	Personality changes	HP_0000751	Broad	F62	DONE	
Congenital malformations of breast	Abnormality of the breast	HP_0000769	Broad	Q83	DONE	
Unspecified jaundice	jaundice	HP_0000952	Exact	R17	DONE	
Iridocyclitis	iridocyclitis	HP_0001094	Exact	H20	DONE	
Abnormalities of gait and mobility	gait disturbance	HP_0001288	Broad	R26	DONE	
Hypoglycemic coma	hypoglycemic coma	HP_0001325	Broad	E15	DONE	
Hepatic failure	hepatic failure	HP_0001399	Exact	K72	DONE	
Umbilical hernia	umbilical hernia	HP_0001537	Exact	K42	DONE	
Polyhydramnios	polyhydramnios	HP_0001561	Exact	O40	DONE	
cardiac arrest	cardiac arrest	EFO_0009492	Exact	I46	DONE	
Congenital deformities of feet	Abnormality of the foot	HP_0001760	Broad	Q66	DONE	
Abnormalities of forces of labour	Abnormal delivery	HP_0001787	Broad	O62	DONE	
Other assisted single delivery	Abnormal delivery	HP_0001787	Broad	O83	DONE	
Multiple delivery	Abnormal delivery	HP_0001787	Broad	O84	DONE	
Abnormality of red blood cells	abnormal erythrocyte morphology	HP_0001877	Exact	R71	DONE	
Abnormal leukocyte morphology	abnormal leukocyte morphology	HP_0001881	Broad	R72	DONE	
Hypothermia	hypothermia	HP_0002045	Exact	T68	DONE	
Lymphadenopathy	lymphadenopathy	HP_0002716	Exact	R59	DONE	
Abnormal findings in cerebrospinal fluid	abnormality of the cerebrospinal fluid	HP_0002921	Exact	R83	DONE	
Glycosuria	glycosuria	HP_0003076	Exact	R81	DONE	
Congenital malformations of posterior segment of eye	Abnormal morphology of the posterior segment of the globe	HP_0004329	Broad	Q14	DONE	
Abnormality of aromatic amino acid family metabolism	abnormality of aromatic amino acid family metabolism	HP_0004338	Broad	E70	DONE	
Abnormality of glycoprotein metabolism	abnormality of glycoprotein metabolism	HP_0004367	Exact	E77	DONE	
Abnormality of glycosaminoglycan metabolism	abnormality of glycosaminoglycan metabolism	HP_0004371	Exact	E76	DONE	
Congenital septal defect	Abnormal cardiac septum morphology	HP_0001671	Exact	Q21	DONE	
Abscess of anal and rectal regions	Rectal abscess	HP_0005224	Broad	K61	DONE	
Abnormalities of breathing	Breathing dysregulation	HP_0005957	Broad	R06	DONE	
Paroxysmal tachycardia	paroxysmal tachycardia	EFO_0009493	Exact	I47	DONE	
Congenital malformations of anterior segment of eye	Anterior segment developmental abnormality	HP_0007700	Exact	Q13	DONE	
Gynecomastia	breast hypertrophy	HP_0010313	Exact	N62	DONE	
Polydactyly	polydactyly	Orphanet_2913	Exact	Q69	DONE	
Pilonidal cyst	Pilonidal asbcess	HP_0010771	Broad	L05	DONE	
Congenital obstructive defects of renal pelvis and congenital malformations of ureter	Abnormality of the renal pelvis  || Abnormality of the ureter	HP_0010944, HP_0000069	Exact	Q62	DONE	
Single delivery by forceps and vacuum extractor	Forceps delivery	HP_0011411	Broad	O81	DONE	
Personality disorder	Personality disorder	HP_0012075	Broad	F60	DONE	
Mixed and other personality disorders	Personality disorder	HP_0012075	Exact	F61	DONE	
Acquired pure red cell aplasia	Pure red cell aplasia	HP_0012410	Exact	D60	DONE	
Chorioretinitis	chorioretinitis	HP_0012424	Exact	H30	DONE	
Other congenital malformations of upper alimentary tract	Morphological abnormality of the gastrointestinal tract	HP_0012718	Broad	Q40	DONE	
Congenital malformations of larynx	Abnormal larynx morphology	HP_0025423	Exact	Q31	DONE	
Cervicitis	cervicitis	HP_0030160	Broad	N72	DONE	
Portal vein thrombosis	portal vein thrombosis	HP_0030242	Exact	I81	DONE	
Cutaneous abscess furuncle and carbuncle	Cutaneous abscess	HP_0031292	Broad	L02	DONE	
Congenital malformations of ear causing impairment of hearing	Abnormal ear morphology  || Hearing loss	HP_0031703, EFO_0004238	Broad	Q16	DONE	
Other congenital malformations of ear	Abnormal ear morphology	HP_0031703	Exact	Q17	DONE	
Abnormality of movement	abnormality of movement	HP_0100022	Broad	R25	DONE	
Calcification and ossification of muscle	Calcification of muscles	HP_0100249	Broad	M61	DONE	
Eclampsia	eclampsia	HP_0100601	Exact	O15	DONE	
Other mosquito borne viral fevers	mosquito-borne hemorragic fever	EFO_0009575	Exact	A92	DONE	
Internal derangement of knee	knee injury	EFO_0009507	Broad	M23	DONE	
Fistulae involving female genital tract	female genital tract fistula	EFO_0009524	Exact	N82	DONE	
Multiple gestation	multiple gestation	EFO_0009576	Exact	O30	DONE	
Postpartum haemorrhage	postpartum hemorrhage	EFO_0009579	Exact	O72	DONE	
Retained placenta and membranes without haemorrhage	placental retention	EFO_0009578	Exact	O73	DONE	
Faecal incontinence	fecal incontinence	EFO_0009523	Exact	R15	DONE	
Disturbances of skin sensation	disturbance of skin sensation	EFO_0009522	Exact	R20	DONE	
Abnormal results of function studies	N/A	EFO_0009628	Exact	R94	DONE	
Superficial injury of head	head injury	EFO_0009505	Broad	S00	DONE	
Crushing injury of head	crush injury	EFO_0009504	Broad	S07	DONE	
Crushing injury of head	head injury	EFO_0009505	Broad	S07	DONE	
Injury of heart	heart injury	EFO_0009506	Exact	S26	DONE	
Superficial injury of abdomen lower back and pelvis	abdominal injury	EFO_0009502	Narrow	S30	DONE	
Injury of intra abdominal organs	abdominal injury	EFO_0009502	Broad	S36	DONE	
Crushing injury of shoulder and upper arm	crush injury	EFO_0009504	Broad	S47	DONE	
Fracture at wrist and hand level	wrist fracture	EFO_0009515	Narrow	S62	DONE	
Open wound of hip and thigh	leg injury	EFO_0009508	Broad	S71	DONE	
Injury of nerves at hip and thigh level	leg injury	EFO_0009508	Broad	S74	DONE	
Injury of nerves at hip and thigh level	peripheral nerve injury	EFO_0009510	Broad	S74	DONE	
Injury of blood vessels at hip and thigh level	leg injury	EFO_0009508	Broad	S75	DONE	
Other and specified injuries of hip and thigh	leg injury	EFO_0009508	Broad	S79	DONE	
Injury of nerves at lower leg level	leg injury	EFO_0009508	Broad	S84	DONE	
Injury of nerves at lower leg level	peripheral nerve injury	EFO_0009510	Broad	S84	DONE	
Fractures involving multiple body regions	multiple bone fractures	EFO_0009513	Exact	T02	DONE	
Dislocations sprains and strains involving multiple body regions	dislocation	EFO_0009521	Narrow	T03	DONE	
Dislocations sprains and strains involving multiple body regions	sprain	EFO_0009582	Narrow	T03	DONE	
Crushing injuries involving multiple body regions	crush injury	EFO_0009504	Broad	T04	DONE	
Fracture of upper limb level unspecified	upper extremity fracture	EFO_0009514	Exact	T10	DONE	
Other injuries of upper limb level unspecified	limb injury	EFO_0009509	Broad	T11	DONE	
Fracture of lower limb level unspecified	lower extremity fracture	EFO_0009512	Exact	T12	DONE	
Other injuries of lower limb level unspecified	leg injury	EFO_0009508	Exact	T13	DONE	
Foreign body in ear	foreign body	EFO_0009525	Broad	T16	DONE	
Foreign body in alimentary tract	foreign body in gastrointestinal tract	EFO_0009526	Exact	T18	DONE	
Burn and corrosion of ankle and foot	burn	EFO_0009516	Broad	T25	DONE	
Burn and corrosion of ankle and foot	caustic injury	EFO_0009503	Broad	T25	DONE	
Burns and corrosions of multiple body regions	burn	EFO_0009516	Broad	T29	DONE	
Burns and corrosions of multiple body regions	caustic injury	EFO_0009503	Broad	T29	DONE	
Burns classified according to extent of body surface involved	burn	EFO_0009516	Exact	T31	DONE	
Frostbite involving multiple body regions and unspecified frostbite	frostbite	EFO_0009527	Broad	T35	DONE	
Toxic effect of organic solvents	intoxication	EFO_0009574	Broad	T52	DONE	
Toxic effect of soaps and detergents	intoxication	EFO_0009574	Broad	T55	DONE	
Toxic effect of other gases fumes and vapours	intoxication	EFO_0009574	Broad	T59	DONE	
Toxic effect of pesticides	intoxication	EFO_0009574	Broad	T60	DONE	
Complications following infusion transfusion and therapeutic injection	complication	EFO_0009518	Broad	T80	DONE	
Complications of cardiac and vascular prosthetic devices implants and grafts	device complication	EFO_0009519	Broad	T82	DONE	
Complications of genitourinary prosthetic devices implants and grafts	device complication	EFO_0009519	Broad	T83	DONE	
Complications of internal orthopaedic prosthetic devices implants and grafts	device complication	EFO_0009519	Broad	T84	DONE	
Complications of other internal prosthetic devices implants and grafts	device complication	EFO_0009519	Broad	T85	DONE	
Sequelae of injuries of head	head injury	EFO_0009505	Broad	T90	DONE	
Sequelae of injuries of upper limb	limb injury	EFO_0009509	Broad	T92	DONE	
Sequelae of injuries of lower limb	leg injury	EFO_0009508	Broad	T93	DONE	
Sequelae of burns corrosions and frostbite	burn	EFO_0009516	Broad	T95	DONE	
Sequelae of burns corrosions and frostbite	caustic injury	EFO_0009503	Broad	T95	DONE	
Sequelae of burns corrosions and frostbite	frostbite	EFO_0009527	Narrow	T95	DONE	
Unspecified fall	N/A	EFO_0009631	Exact	W19	DONE	
Routine general health check up of defined subpopulation	checkup	EFO_0009517	Exact	Z10	DONE	
Contraceptive management	contraception	EFO_0009520	Exact	Z30	DONE	
Supervision of high risk pregnancy	high-risk pregnancy	EFO_0009573	Narrow	Z35	DONE	
Prophylactic surgery	prophylactic surgery	EFO_0009580	Exact	Z40	DONE	
Other orthopaedic follow up care	orthopedic nursing	EFO_0009577	Broad	Z47	DONE	
Care involving use of rehabilitation procedures	rehabilitation	EFO_0009581	Exact	Z50	DONE	
Disorders of mineral metabolism	mineral metabolism disease	EFO_0009556	Exact	E83	DONE	
Other disorders of eye and adnexa in diseases classified elsewhere	eye adnexa disease	EFO_0009546	Broad	H58	DONE	
Nonrheumatic tricuspid valve disorders	tricuspid valve disease	EFO_0009568	Broad	I36	DONE	
Disorders of sclera and cornea in diseases classified elsewhere	corneal disease	EFO_0009464	Broad	H19	DONE	
Other disorders of cornea	corneal disease	EFO_0009464	Exact	H18	DONE	
uremia	kidney failure	EFO_1002048	Exact	N19	DONE	
Oesophageal varices	esophageal varices	EFO_0009545	Exact	I85	DONE	
Disorders of autonomic nervous system	autonomic nervous system disease	EFO_0009532	Exact	G90	DONE	
marasmus	protein energy malnutrition	EFO_0009563	Exact	E46	DONE	
Mononeuropathies of upper limb	mononeuropathy	EFO_0009558	Broad	G56	DONE	
Mononeuropathies of lower limb	mononeuropathy	EFO_0009558	Broad	G57	DONE	
Other disorders of binocular movement	binocular vision disease	EFO_0009535	Broad	H51	DONE	
Inflammatory disease of uterus except cervix	uterine inflammatory disease	EFO_0009572	Exact	N71	DONE	
Polyneuropathy in diseases classified elsewhere	polyneuropathy	EFO_0009562	Broad	G63	DONE	
Noninflammatory disorders of ovary fallopian tube and broad ligament	fallopian tube disease	EFO_0009548	Broad	N83	DONE	
Pain and other conditions associated with female genital organs and menstrual cycle	female reproductive system disease	EFO_0009549	Broad	N94	DONE	
Anuria and oliguria	anuria	EFO_0009530	Broad	R34	DONE	
Multiple valve diseases	heart valve disease	EFO_0009551	Broad	I08	DONE	
Disorders of male genital organs in diseases classified elsewhere	male reproductive system disease	EFO_0009555	Broad	N51	DONE	
Obstructive and reflux uropathy	urinary tract obstruction	EFO_0009571	Broad	N13	DONE	
Disorders of eyelid in diseases classified elsewhere	eyelid disease	EFO_0009547	Broad	H03	DONE	
Diseases of pulp and periapical tissues	dental pulp disease	EFO_0009540	Broad	K04	DONE	
Disorders of trigeminal nerve	trigeminal nerve disease	EFO_0009569	Exact	G50	DONE	
Pulmonary valve disorders	pulmonary valve disease	EFO_0009564	Exact	I37	DONE	
Other disorders of tympanic membrane	tympanic membrane disease	EFO_0009570	Exact	H73	DONE	
Other diseases of oesophagus	esophageal disease	EFO_0009544	Exact	K22	DONE	
Nonrheumatic mitral valve disorders	mitral valve disease	EFO_0009557	Broad	I34	DONE	
Rheumatic aortic valve diseases	aortic valve disease	EFO_0009531	Broad	I06	DONE	
Nonrheumatic aortic valve disorders	aortic valve disease	EFO_0009531	Broad	I35	DONE	
Other degenerative diseases of basal ganglia	basal ganglia disease	EFO_0009533	Broad	G23	DONE	
Other inflammation of eyelid	blepharitis	EFO_0009536	Exact	H01	DONE	
Otitis externa	otitis externa	EFO_0009560	Exact	H60	DONE	
Other diseases of biliary tract	biliary tract disease	EFO_0009534	Exact	K83	DONE	
Haemorrhoids	hemorrhoid	EFO_0009552	Exact	I84	DONE	
Arthrosis of first carpometacarpal joint	joint disease	EFO_1000999	Broad	M18	DONE	
Inflammatory polyneuropathy	chronic inflammatory demyelinating polyneuropathy	EFO_0009538	Broad	G61	DONE	
Congenital malformations of aortic and mitral valves	congenital mitral malformation	EFO_0009539	Broad	Q23	DONE	
HIV disease resulting in malignant neoplasms	HIV-associated cancer	EFO_0009553	Exact	B21	DONE	
Anaemia due to enzyme disorders	anemia due to enzyme disorder	EFO_0009529	Exact	D55	DONE	
Other disorders of peritoneum	disease of peritoneum	EFO_0009541	Exact	K66	DONE	
Intestinal malabsorption	malabsorption syndrome	EFO_0009554	Broad	K90	DONE	
Other headache syndromes	headache disorder	EFO_0009550	Exact	G44	DONE	
Disorders resulting from impaired renal tubular function	renal tubule disease	EFO_0009566	Broad	N25	DONE	
Unspecified intestinal parasitism	parasitic intestinal disease	EFO_0009561	Exact	B82	DONE	
Nerve root and plexus disorders	nerve plexus disease	EFO_0009559	Exact	G54	DONE	
HIV disease resulting in other specified diseases	AIDS-related disorder	EFO_0009528	Broad	B22	DONE	
HIV disease resulting in other conditions	AIDS-related disorder	EFO_0009528	Broad	B23	DONE	
Skin changes due to chronic exposure to nonionizing radiation	radiation-induced disorder	EFO_0009565	Broad	L57	DONE	
Cervical disc disorders	cervical disc degenerative disease	EFO_0009537	Broad	M50	DONE	
Other diseases of appendix	disorder of appendix	EFO_0009542	Exact	K38	DONE	
Small kidney of unknown cause	small kidney	EFO_0009471	Exact	N27	DONE	
Perforation of tympanic membrane	tympanic membrane perforation	EFO_0009472	Exact	H72	DONE	
Other spirochaetal infections	Spirochaetales Infections	EFO_0009567	Exact	A69	DONE	
Disturbances of smell and taste	disturbances of sensation of smell and taste	EFO_0009543	Exact	R43	DONE	
Other diseases of jaws	jaw disease	EFO_0009468	Exact	K10	DONE	
Diseases of Bartholin s gland	Bartholin's gland disease	EFO_0009469	Exact	N75	DONE	
Soft tissue disorders related to use overuse and pressure	soft tissue disease	EFO_0009470	Broad	M70	DONE	
Soft tissue disorders in diseases classified elsewhere	soft tissue disease	EFO_0009470	Broad	M73	DONE	
Waist circumference	waist circumference	EFO_0004342	Exact	48	DONE	
Hip circumference	hip circumference	EFO_0005093	Exact	49	DONE	
Standing height	body height	EFO_0004339	Exact	50	DONE	
Pulse rate, automated reading	heart rate	EFO_0004326	Broad	102	DONE	
Sleep duration	sleep duration	EFO_0005271	Exact	1160	DONE	
Morning/evening person (chronotype)	chronotype measurement	EFO_0008328	Exact	1180	DONE	
Sleeplessness / insomnia	insomnia	EFO_0004698	Exact	1200	DONE	
Snoring	snoring measurement	EFO_0008341	Exact	1210	DONE	
Alcohol intake frequency.	alcohol consumption measurement	EFO_0007878	Exact	1558	DONE	
Mood swings	mood swings	HP_0000720	Exact	1920	DONE	
Irritability	irritability	HP_0000737	Exact	1940	DONE	
Loneliness, isolation	loneliness measurement	EFO_0007865	Exact	2020	DONE	
Frequency of tiredness / lethargy in last 2 weeks	tiredness measurement	EFO_0007946	Exact	2080	DONE	
Hearing difficulty/problems with background noise	hearing loss	EFO_0004238	Exact	2257	DONE	
Chest pain or discomfort	chest pain	HP_0100749	Exact	2335	DONE	
Relative age voice broke	age at voice drop	EFO_0007888	Exact	2385	DONE	
Age when periods started (menarche)	age at menarche	EFO_0004703	Exact	2714	DONE	
Had menopause	menopause	EFO_0003922	Exact	2724	DONE	
Forced vital capacity (FVC)	vital capacity	EFO_0004312	Exact	3062	DONE	
Forced expiratory volume in 1-second (FEV1)	forced expiratory volume	EFO_0004314	Broad	3063	DONE	
Neck/shoulder pain for 3+ months	shoulder pain  || neck pain	HP_0030834, HP_0030833	Broad	3404	DONE	
Hip pain for 3+ months	hip pain	HP_0030838	Broad	3414	DONE	
Back pain for 3+ months	back pain	HP_0003418	Broad	3571	DONE	
Ever had hysterectomy (womb removed)	hysterectomy	EFO_0003881	Broad	3591	DONE	
Length of menstrual cycle	menstrual cycle measurement	EFO_0007786	Exact	3710	DONE	
Stomach/abdominal pain for 3+ months	pain in abdomen	EFO_0003766	Exact	3741	DONE	
Headaches for 3+ months	headache disorder  || headache	EFO_0009550, HP_0002315	Exact	3799	DONE	
Gestational diabetes only	gestational diabetes	EFO_0004593	Exact	4041	DONE	
Diastolic blood pressure, automated reading	diastolic blood pressure	EFO_0006336	Exact	4079	DONE	
Systolic blood pressure, automated reading	systolic blood pressure	EFO_0006335	Exact	4080	DONE	
Pulse rate	heart rate	EFO_0004326	Exact	4194	DONE	
Leg pain on walking	lower limb pain	HP_0012514	Broad	4728	DONE	
Leg pain when standing still or sitting	lower limb pain	HP_0012514	Broad	5452	DONE	
Leg pain in calf/calves	lower limb pain	HP_0012514	Broad	5463	DONE	
Chest pain felt during physical activity	chest pain	HP_0100749	Broad	6015	DONE	
Chest pain felt outside physical activity	chest pain	HP_0100749	Broad	6016	DONE	
Maximum heart rate during fitness test	heart rate response to exercise	EFO_0009184	Exact	6033	DONE	
Fluid intelligence score	intelligence	EFO_0004337	Exact	20016	DONE	
Birth weight	birth weight	EFO_0004344	Exact	20022	DONE	
Bipolar disorder status	bipolar disorder	EFO_0000289	Exact	20122	DONE	
Neuroticism score	neuroticism measurement	EFO_0007660	Exact	20127	DONE	
Forced expiratory volume in 1-second (FEV1), Best measure	forced expiratory volume	EFO_0004314	Broad	20150	DONE	
Forced vital capacity (FVC), Best measure	vital capacity	EFO_0004312	Exact	20151	DONE	
Body mass index (BMI)	body mass index	EFO_0004340	Exact	21001	DONE	
Weight	body weight	EFO_0004338	Exact	21002	DONE	
Pulse wave Arterial Stiffness index	arterial stiffness measurement	EFO_0004517	Exact	21021	DONE	
hayfever or allergic rhinitis	seasonal allergic rhinitis	EFO_0003956	Exact	22126	DONE	
asthma	asthma	EFO_0000270	Exact	22127	DONE	
emphysema	emphysema	EFO_0000464	Exact	22128	DONE	
chronic bronchitis	chronic bronchitis	EFO_0006505	Exact	22129	DONE	
COPD (chronic obstructive pulmonary disease)	chronic obstructive pulmonary disease	EFO_0000341	Exact	22130	DONE	
sarcoidosis	sarcoidosis	Orphanet_797	Exact	22133	DONE	
bronchiectasis	bronchiectasis	HP_0002110	Exact	22134	DONE	
idiopathic pulmonary fibrosis	idiopathic pulmonary fibrosis	EFO_0000768	Exact	22135	DONE	
tuberculosis	tuberculosis	Orphanet_3389	Exact	22137	DONE	
lung cancer (not mesothelioma)	lung carcinoma	EFO_0001071	Narrow	22140	DONE	
Body fat percentage	body fat percentage	EFO_0007800	Exact	23099	DONE	
Whole body fat mass	fat body mass	EFO_0005409	Exact	23100	DONE	
Whole body fat-free mass	lean body mass	EFO_0004995	Exact	23101	DONE	
Basal metabolic rate	base metabolic rate measurement	EFO_0007777	Exact	23105	DONE	
Potassium in urine	abnormal urine potassium concentration	HP_0012598	Exact	30520	DONE	
Sodium in urine	abnormal urine sodium concentration	HP_0012603	Exact	30530	DONE	
Age at death	age at death	EFO_0005056	Exact	40007	DONE	
lung cancer	lung carcinoma	EFO_0001071	Narrow	20001_1001	DONE	
breast cancer	breast carcinoma	EFO_0000305	Narrow	20001_1002	DONE	
skin cancer	skin carcinoma	EFO_0009259	Narrow	20001_1003	DONE	
cancer of lip/mouth/pharynx/oral cavity	oral cavity cancer	EFO_0005570	Exact	20001_1004	DONE	
larynx/throat cancer	laryngeal neoplasm	EFO_0003817	Broad	20001_1006	DONE	
tongue cancer	tongue neoplasm	EFO_0003871	Broad	20001_1011	DONE	
oesophageal cancer	esophageal carcinoma	EFO_0002916	Narrow	20001_1017	DONE	
stomach cancer	stomach neoplasm	EFO_0003897	Broad	20001_1018	DONE	
small intestine/small bowel cancer	small intestine carcinoma	EFO_0005588	Narrow	20001_1019	DONE	
large bowel cancer/colorectal cancer	colorectal carcinoma	EFO_1001951	Narrow	20001_1020	DONE	
colon cancer/sigmoid cancer	colon carcinoma	EFO_1001950	Narrow	20001_1022	DONE	
rectal cancer	rectal cancer	EFO_1000657	Exact	20001_1023	DONE	
liver/hepatocellular cancer	hepatocellular carcinoma	EFO_0000182	Narrow	20001_1024	DONE	
eye and/or adnexal cancer	eye neoplasm	EFO_0003824	Broad	20001_1030	DONE	
brain cancer / primary malignant brain tumour	brain neoplasm	EFO_0003833	Broad	20001_1032	DONE	
kidney/renal cell cancer	kidney neoplasm	EFO_0003865	Broad	20001_1034	DONE	
bladder cancer	bladder carcinoma	EFO_0000292	Narrow	20001_1035	DONE	
ovarian cancer	ovarian carcinoma	EFO_0001075	Narrow	20001_1039	DONE	
uterine/endometrial cancer	uterine carcinoma	EFO_0002919	Narrow	20001_1040	DONE	
cervical cancer	cervical carcinoma	EFO_0001061	Narrow	20001_1041	DONE	
prostate cancer	prostate carcinoma	EFO_0001663	Narrow	20001_1044	DONE	
testicular cancer	testicular carcinoma	EFO_0005088	Narrow	20001_1045	DONE	
lymphoma	lymphoma	EFO_0000574	Exact	20001_1047	DONE	
leukaemia	leukemia	EFO_0000565	Exact	20001_1048	DONE	
multiple myeloma	multiple myeloma	EFO_0001378	Exact	20001_1050	DONE	
hodgkins lymphoma / hodgkins disease	Hodgkins lymphoma	EFO_0000183	Exact	20001_1052	DONE	
non-hodgkins lymphoma	non-Hodgkins lymphoma	EFO_0005952	Exact	20001_1053	DONE	
chronic lymphocytic	chronic lymphocytic leukemia	EFO_0000095	Exact	20001_1055	DONE	
chronic myeloid	chronic myelogenous leukemia	EFO_0000339	Exact	20001_1056	DONE	
malignant melanoma	melanoma	EFO_0000756	Exact	20001_1059	DONE	
non-melanoma skin cancer	non-melanoma skin carcinoma	EFO_0009260	Narrow	20001_1060	DONE	
basal cell carcinoma	basal cell carcinoma	EFO_0004193	Exact	20001_1061	DONE	
squamous cell carcinoma	squamous cell carcinoma	EFO_0000707	Exact	20001_1062	DONE	
primary bone cancer	bone neoplasm	EFO_0003820	Broad	20001_1063	DONE	
thyroid cancer	thyroid carcinoma	EFO_0002892	Narrow	20001_1065	DONE	
malignant lymph node, unspecified	lymphoid neoplasm	EFO_0001642	Broad	20001_1070	DONE	
hypertension	hypertension	EFO_0000537	Exact	20002_1065	DONE	
heart/cardiac problem	heart disease	EFO_0003777	Exact	20002_1066	DONE	
peripheral vascular disease	peripheral vascular disease	EFO_0003875	Exact	20002_1067	DONE	
venous thromboembolic disease	venous thrombosis	HP_0004936	Exact	20002_1068	DONE	
essential hypertension	primary hypertension	EFO_1002032	Exact	20002_1072	DONE	
gestational hypertension/pre-eclampsia	preeclampsia	EFO_0000668	Exact	20002_1073	DONE	
angina	angina pectoris	EFO_0003913	Exact	20002_1074	DONE	
heart attack/myocardial infarction	myocardial infarction	EFO_0000612	Exact	20002_1075	DONE	
heart failure/pulmonary odema	heart failure	EFO_0003144	Exact	20002_1076	DONE	
heart arrhythmia	cardiac arrhythmia	EFO_0004269	Exact	20002_1077	DONE	
cardiomyopathy	cardiomyopathy	EFO_0000318	Exact	20002_1079	DONE	
stroke	stroke	EFO_0000712	Exact	20002_1081	DONE	
transient ischaemic attack (tia)	transient ischemic attack	EFO_0003764	Exact	20002_1082	DONE	
subdural haemorrhage/haematoma	subdural hemorrhage	HP_0100309	Exact	20002_1083	DONE	
