"phecode"	"description"	"sex"	"rollup"	"leaf"	"groupnum"	"group"	"color"	"phecode_exclude_range"	"phecode_exclude_phenotypes"
"286.13"	"Congenital factor VIII disorder"	"Both"	"1"	"1"	"4"	"hematopoietic"	"darkorange1"	"286-287.99"	"COAGULATION OR HEMORRHAGIC DISEASES"
"286.2"	"Encounter for long-term (current) use of anticoagulants"	"Both"	"0"	"1"	"4"	"hematopoietic"	"darkorange1"	"286-287.99"	"COAGULATION OR HEMORRHAGIC DISEASES"
"286.3"	"Coagulation defects complicating pregnancy or postpartum"	"Female"	"0"	"1"	"4"	"hematopoietic"	"darkorange1"	"286-287.99"	"COAGULATION OR HEMORRHAGIC DISEASES"
"286.4"	"Acquired coagulation factor deficiency"	"Both"	"1"	"1"	"4"	"hematopoietic"	"darkorange1"	"286-287.99"	"COAGULATION OR HEMORRHAGIC DISEASES"
"286.5"	"Hemorrhagic disorder due to intrinsic circulating anticoagulants"	"Both"	"1"	"1"	"4"	"hematopoietic"	"darkorange1"	"286-287.99"	"COAGULATION OR HEMORRHAGIC DISEASES"
"286.6"	"Defibrination syndrome"	"Both"	"1"	"1"	"4"	"hematopoietic"	"darkorange1"	"286-287.99"	"COAGULATION OR HEMORRHAGIC DISEASES"
"286.7"	"Other and unspecified coagulation defects"	"Both"	"1"	"1"	"4"	"hematopoietic"	"darkorange1"	"286-287.99"	"COAGULATION OR HEMORRHAGIC DISEASES"
"286.8"	"Hypercoagulable state"	"Both"	"1"	"0"	"4"	"hematopoietic"	"darkorange1"	"286-287.99"	"COAGULATION OR HEMORRHAGIC DISEASES"
"286.81"	"Primary hypercoagulable state"	"Both"	"1"	"1"	"4"	"hematopoietic"	"darkorange1"	"286-287.99"	"COAGULATION OR HEMORRHAGIC DISEASES"
"286.9"	"Abnormal coagulation profile"	"Both"	"1"	"1"	"4"	"hematopoietic"	"darkorange1"	"286-287.99"	"COAGULATION OR HEMORRHAGIC DISEASES"
"287"	"Purpura and other hemorrhagic conditions"	"Both"	"1"	"0"	"4"	"hematopoietic"	"darkorange1"	"286-287.99"	"COAGULATION OR HEMORRHAGIC DISEASES"
"287.1"	"Spontaneous ecchymoses"	"Both"	"0"	"1"	"4"	"hematopoietic"	"darkorange1"	"286-287.99"	"COAGULATION OR HEMORRHAGIC DISEASES"
"287.2"	"Allergic purpura"	"Both"	"1"	"1"	"4"	"hematopoietic"	"darkorange1"	"286-287.99"	"COAGULATION OR HEMORRHAGIC DISEASES"
"287.3"	"Thrombocytopenia"	"Both"	"1"	"0"	"4"	"hematopoietic"	"darkorange1"	"286-287.99"	"COAGULATION OR HEMORRHAGIC DISEASES"
"287.31"	"Primary thrombocytopenia"	"Both"	"1"	"1"	"4"	"hematopoietic"	"darkorange1"	"286-287.99"	"COAGULATION OR HEMORRHAGIC DISEASES"
"287.32"	"Secondary thrombocytopenia"	"Both"	"1"	"1"	"4"	"hematopoietic"	"darkorange1"	"286-287.99"	"COAGULATION OR HEMORRHAGIC DISEASES"
"287.4"	"Qualitative platelet defects"	"Both"	"1"	"1"	"4"	"hematopoietic"	"darkorange1"	"286-287.99"	"COAGULATION OR HEMORRHAGIC DISEASES"
"288"	"Diseases of white blood cells"	"Both"	"1"	"0"	"4"	"hematopoietic"	"darkorange1"	"288-289.99"	"Other diseases of the blood"
"288.1"	"Decreased white blood cell count"	"Both"	"0"	"0"	"4"	"hematopoietic"	"darkorange1"	"288-289.99"	"Other diseases of the blood"
"288.11"	"Neutropenia"	"Both"	"1"	"1"	"4"	"hematopoietic"	"darkorange1"	"288-289.99"	"Other diseases of the blood"
"288.2"	"Elevated white blood cell count"	"Both"	"1"	"1"	"4"	"hematopoietic"	"darkorange1"	"288-289.99"	"Other diseases of the blood"
"288.3"	"Eosinophilia"	"Both"	"1"	"1"	"4"	"hematopoietic"	"darkorange1"	"288-289.99"	"Other diseases of the blood"
"289"	"Other diseases of blood and blood-forming organs"	"Both"	"1"	"0"	"4"	"hematopoietic"	"darkorange1"	"288-289.99"	"Other diseases of the blood"
"289.1"	"Myelofibrosis"	"Both"	"1"	"1"	"4"	"hematopoietic"	"darkorange1"	"288-289.99"	"Other diseases of the blood"
"289.3"	"Personal history of diseases of blood and blood-forming organs"	"Both"	"1"	"1"	"4"	"hematopoietic"	"darkorange1"	"288-289.99"	"Other diseases of the blood"
"289.4"	"Lymphadenitis"	"Both"	"0"	"1"	"4"	"hematopoietic"	"darkorange1"	"288-289.99"	"Other diseases of the blood"
"289.5"	"Diseases of spleen"	"Both"	"0"	"1"	"4"	"hematopoietic"	"darkorange1"	"288-289.99"	"Other diseases of the blood"
"289.8"	"Polycythemia, secondary"	"Both"	"0"	"1"	"4"	"hematopoietic"	"darkorange1"	"288-289.99, 200-200.99"	""
"289.9"	"Abnormality of red blood cells"	"Both"	"1"	"1"	"4"	"hematopoietic"	"darkorange1"	"288-289.99"	"Other diseases of the blood"
"290"	"Delirium dementia and amnestic and other cognitive disorders"	"Both"	"1"	"0"	"5"	"mental disorders"	"magenta"	"290-292.99"	" dementia and related cognitive disorders/symptoms"
"290.1"	"Dementias"	"Both"	"1"	"0"	"5"	"mental disorders"	"magenta"	"290-292.99"	" dementia and related cognitive disorders/symptoms"
"290.11"	"Alzheimer's disease"	"Both"	"1"	"1"	"5"	"mental disorders"	"magenta"	"290-292.99"	" dementia and related cognitive disorders/symptoms"
"290.12"	"Dementia with cerebral degenerations"	"Both"	"1"	"1"	"5"	"mental disorders"	"magenta"	"290-292.99"	" dementia and related cognitive disorders/symptoms"
"290.13"	"Senile dementia"	"Both"	"1"	"1"	"5"	"mental disorders"	"magenta"	"290-292.99"	" dementia and related cognitive disorders/symptoms"
"290.16"	"Vascular dementia"	"Both"	"1"	"1"	"5"	"mental disorders"	"magenta"	"290-292.99"	" dementia and related cognitive disorders/symptoms"
"290.2"	"Delirium due to conditions classified elsewhere"	"Both"	"1"	"1"	"5"	"mental disorders"	"magenta"	"290-292.99"	" dementia and related cognitive disorders/symptoms"
"290.3"	"Other persistent mental disorders due to conditions classified elsewhere"	"Both"	"0"	"1"	"5"	"mental disorders"	"magenta"	"290-292.99"	" dementia and related cognitive disorders/symptoms"
"291"	"Other specified nonpsychotic and/or transient mental disorders"	"Both"	"1"	"0"	"5"	"mental disorders"	"magenta"	"290-292.99"	" dementia and related cognitive disorders/symptoms"
"291.1"	"Transient mental disorders due to conditions classified elsewhere"	"Both"	"1"	"1"	"5"	"mental disorders"	"magenta"	"290-292.99"	" dementia and related cognitive disorders/symptoms"
"291.4"	"Specific nonpsychotic mental disorders due to brain damage"	"Both"	"1"	"1"	"5"	"mental disorders"	"magenta"	"290-292.99"	" dementia and related cognitive disorders/symptoms"
"291.8"	"Alteration of consciousness"	"Both"	"1"	"1"	"5"	"mental disorders"	"magenta"	"290-292.99"	" dementia and related cognitive disorders/symptoms"
"292"	"Neurological disorders"	"Both"	"1"	"0"	"5"	"mental disorders"	"magenta"	"290-292.99"	" dementia and related cognitive disorders/symptoms"
"292.1"	"Aphasia/speech disturbance"	"Both"	"1"	"0"	"5"	"mental disorders"	"magenta"	"290-292.99"	" dementia and related cognitive disorders/symptoms"
"292.11"	"Aphasia"	"Both"	"1"	"1"	"5"	"mental disorders"	"magenta"	"290-292.99"	" dementia and related cognitive disorders/symptoms"
"292.12"	"Symbolic dysfunction"	"Both"	"1"	"1"	"5"	"mental disorders"	"magenta"	"290-292.99"	" dementia and related cognitive disorders/symptoms"
"292.2"	"Mild cognitive impairment"	"Both"	"1"	"1"	"5"	"mental disorders"	"magenta"	"290-292.99"	" dementia and related cognitive disorders/symptoms"
"292.3"	"Memory loss"	"Both"	"1"	"1"	"5"	"mental disorders"	"magenta"	"290-292.99"	" dementia and related cognitive disorders/symptoms"
"292.4"	"Altered mental status"	"Both"	"1"	"1"	"5"	"mental disorders"	"magenta"	"290-292.99"	" dementia and related cognitive disorders/symptoms"
"292.5"	"Transient alteration of awareness"	"Both"	"1"	"1"	"5"	"mental disorders"	"magenta"	"290-292.99"	" dementia and related cognitive disorders/symptoms"
"292.6"	"Hallucinations"	"Both"	"1"	"1"	"5"	"mental disorders"	"magenta"	"290-292.99"	" dementia and related cognitive disorders/symptoms"
"293"	"Symptoms involving head and neck"	"Both"	"1"	"1"	"5"	"mental disorders"	"magenta"	"293-293.99"	"Symptoms involving head and neck"
"293.1"	"Swelling, mass, or lump in head and neck [Space-occupying lesion, intracranial NOS]"	"Both"	"0"	"1"	"5"	"mental disorders"	"magenta"	"293-293.99"	"Symptoms involving head and neck"
"295"	"Schizophrenia and other psychotic disorders"	"Both"	"1"	"0"	"5"	"mental disorders"	"magenta"	"295-306.99"	" psychological disorders"
"295.1"	"Schizophrenia"	"Both"	"1"	"1"	"5"	"mental disorders"	"magenta"	"295-306.99"	" psychological disorders"
"295.2"	"Paranoid disorders"	"Both"	"1"	"1"	"5"	"mental disorders"	"magenta"	"295-306.99"	" psychological disorders"
"295.3"	"Psychosis"	"Both"	"1"	"1"	"5"	"mental disorders"	"magenta"	"295-306.99"	" psychological disorders"
"296"	"Mood disorders"	"Both"	"1"	"0"	"5"	"mental disorders"	"magenta"	"295-306.99"	" psychological disorders"
"296.1"	"Bipolar"	"Both"	"1"	"1"	"5"	"mental disorders"	"magenta"	"295-306.99"	" psychological disorders"
"296.2"	"Depression"	"Both"	"1"	"0"	"5"	"mental disorders"	"magenta"	"295-306.99"	" psychological disorders"
"296.22"	"Major depressive disorder"	"Both"	"1"	"1"	"5"	"mental disorders"	"magenta"	"295-306.99"	" psychological disorders"
"297"	"Suicidal ideation or attempt"	"Both"	"1"	"0"	"5"	"mental disorders"	"magenta"	"295-306.99"	" psychological disorders"
"297.1"	"Suicidal ideation"	"Both"	"1"	"1"	"5"	"mental disorders"	"magenta"	"295-306.99"	" psychological disorders"
"297.2"	"Suicide or self-inflicted injury"	"Both"	"1"	"1"	"5"	"mental disorders"	"magenta"	"295-306.99"	" psychological disorders"
"300"	"Anxiety disorders"	"Both"	"1"	"0"	"5"	"mental disorders"	"magenta"	"295-306.99"	" psychological disorders"
"300.1"	"Anxiety disorder"	"Both"	"1"	"0"	"5"	"mental disorders"	"magenta"	"295-306.99"	" psychological disorders"
"300.11"	"Generalized anxiety disorder"	"Both"	"1"	"1"	"5"	"mental disorders"	"magenta"	"295-306.99"	" psychological disorders"
"300.12"	"Agorophobia, social phobia, and panic disorder"	"Both"	"1"	"1"	"5"	"mental disorders"	"magenta"	"295-306.99"	" psychological disorders"
"300.13"	"Phobia"	"Both"	"1"	"1"	"5"	"mental disorders"	"magenta"	"295-306.99"	" psychological disorders"
"300.2"	"Generalized anxiety & phobic disorders"	"Both"	"1"	"1"	"5"	"mental disorders"	"magenta"	"295-306.99"	" psychological disorders"
"300.3"	"Obsessive-compulsive disorders"	"Both"	"1"	"1"	"5"	"mental disorders"	"magenta"	"295-306.99"	" psychological disorders"
"300.4"	"Dysthymic disorder"	"Both"	"1"	"1"	"5"	"mental disorders"	"magenta"	"295-306.99"	" psychological disorders"
"300.8"	"Acute reaction to stress"	"Both"	"1"	"1"	"5"	"mental disorders"	"magenta"	"295-306.99"	" psychological disorders"
"300.9"	"Posttraumatic stress disorder"	"Both"	"1"	"1"	"5"	"mental disorders"	"magenta"	"295-306.99"	" psychological disorders"
"301"	"Personality disorders"	"Both"	"1"	"0"	"5"	"mental disorders"	"magenta"	"295-306.99"	" psychological disorders"
"301.1"	"Schizoid personality disorder"	"Both"	"1"	"1"	"5"	"mental disorders"	"magenta"	"295-306.99"	" psychological disorders"
"301.2"	"Antisocial/borderline personality disorder"	"Both"	"1"	"1"	"5"	"mental disorders"	"magenta"	"295-306.99"	" psychological disorders"
"302"	"Sexual and gender identity disorders"	"Both"	"1"	"0"	"5"	"mental disorders"	"magenta"	"295-306.99"	" psychological disorders"
"302.1"	"Decreased libido"	"Both"	"1"	"1"	"5"	"mental disorders"	"magenta"	"295-306.99"	" psychological disorders"
"303"	"Psychogenic and somatoform disorders"	"Both"	"1"	"0"	"5"	"mental disorders"	"magenta"	"295-306.99"	" psychological disorders"
"303.1"	"Dissociative disorder"	"Both"	"0"	"1"	"5"	"mental disorders"	"magenta"	"295-306.99"	" psychological disorders"
"303.3"	"Psychogenic disorder"	"Both"	"1"	"0"	"5"	"mental disorders"	"magenta"	"295-306.99"	" psychological disorders"
"303.31"	"Gastrointestinal malfunction arising from mental factors"	"Both"	"1"	"1"	"5"	"mental disorders"	"magenta"	"295-306.99"	" psychological disorders"
"303.4"	"Somatoform disorder"	"Both"	"1"	"1"	"5"	"mental disorders"	"magenta"	"295-306.99"	" psychological disorders"
"304"	"Adjustment reaction"	"Both"	"1"	"1"	"5"	"mental disorders"	"magenta"	"295-306.99"	" psychological disorders"
"305.2"	"Eating disorder"	"Both"	"0"	"0"	"5"	"mental disorders"	"magenta"	"295-306.99"	" psychological disorders"
"305.21"	"Anorexia nervosa"	"Both"	"1"	"1"	"5"	"mental disorders"	"magenta"	"295-306.99"	" psychological disorders"
"306"	"Other mental disorder"	"Both"	"1"	"0"	"5"	"mental disorders"	"magenta"	"295-306.99"	" psychological disorders"
"306.1"	"Mental disorders durring/after pregnancy"	"Female"	"0"	"1"	"5"	"mental disorders"	"magenta"	"295-306.99"	" psychological disorders"
"306.9"	"Tension headache"	"Both"	"1"	"1"	"5"	"mental disorders"	"magenta"	"295-306.99"	" psychological disorders"
"312"	"Conduct disorders"	"Both"	"1"	"0"	"5"	"mental disorders"	"magenta"	"312-315.99"	"Developmental/behavioral disorders"
"312.3"	"Impulse control disorder"	"Both"	"1"	"1"	"5"	"mental disorders"	"magenta"	"312-315.99"	"Developmental/behavioral disorders"
"313"	"Pervasive developmental disorders"	"Both"	"1"	"0"	"5"	"mental disorders"	"magenta"	"312-315.99"	"Developmental/behavioral disorders"
"313.1"	"Attention deficit hyperactivity disorder"	"Both"	"1"	"1"	"5"	"mental disorders"	"magenta"	"312-315.99"	"Developmental/behavioral disorders"
"313.2"	"Tics and stuttering"	"Both"	"1"	"1"	"5"	"mental disorders"	"magenta"	"312-315.99"	"Developmental/behavioral disorders"
"313.3"	"Autism"	"Both"	"1"	"1"	"5"	"mental disorders"	"magenta"	"312-315.99"	"Developmental/behavioral disorders"
"315"	"Develomental delays and disorders"	"Both"	"1"	"0"	"5"	"mental disorders"	"magenta"	"312-315.99"	"Developmental/behavioral disorders"
"315.1"	"Learning disorder"	"Both"	"0"	"1"	"5"	"mental disorders"	"magenta"	"312-315.99"	"Developmental/behavioral disorders"
"315.2"	"Speech and language disorder"	"Both"	"1"	"1"	"5"	"mental disorders"	"magenta"	"312-315.99"	"Developmental/behavioral disorders"
"315.3"	"Mental retardation"	"Both"	"1"	"1"	"5"	"mental disorders"	"magenta"	"312-315.99"	"Developmental/behavioral disorders"
"316"	"Substance addiction and disorders"	"Both"	"1"	"0"	"5"	"mental disorders"	"magenta"	"316-319.99"	" Substance-related disorders"
"316.1"	"Polyneuropathy due to drugs"	"Both"	"1"	"1"	"5"	"mental disorders"	"magenta"	"316-319.99"	" Substance-related disorders"
"317"	"Alcohol-related disorders"	"Both"	"1"	"0"	"5"	"mental disorders"	"magenta"	"316-319.99"	" Substance-related disorders"
"317.1"	"Alcoholism"	"Both"	"1"	"0"	"5"	"mental disorders"	"magenta"	"316-319.99"	" Substance-related disorders"
"317.11"	"Alcoholic liver damage"	"Both"	"1"	"1"	"5"	"mental disorders"	"magenta"	"316-319.99"	" Substance-related disorders"
"318"	"Tobacco use disorder"	"Both"	"1"	"1"	"5"	"mental disorders"	"magenta"	"316-319.99"	" Substance-related disorders"
"320"	"Meningitis"	"Both"	"1"	"1"	"6"	"neurological"	"darkblue"	"320-326.9"	"INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM"
"323"	"Encephalitis"	"Both"	"1"	"0"	"6"	"neurological"	"darkblue"	"320-326.9"	"INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM"
"323.2"	"Acute (transverse) myelitis"	"Both"	"1"	"1"	"6"	"neurological"	"darkblue"	"320-326.9"	"INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM"
"323.8"	"Encephalitis, non-infectious"	"Both"	"1"	"1"	"6"	"neurological"	"darkblue"	"320-326.9"	"INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM"
"324"	"Other CNS infection and poliomyelitis"	"Both"	"1"	"0"	"6"	"neurological"	"darkblue"	"320-326.9"	"INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM"
"324.1"	"Jakob-Creutzfeldt disease"	"Both"	"1"	"1"	"6"	"neurological"	"darkblue"	"320-326.9"	"INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM"
"325"	"Phlebitis and thrombophlebitis of intracranial venous sinuses"	"Both"	"1"	"1"	"6"	"neurological"	"darkblue"	"320-326.9"	"INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM"
"327"	"Sleep disorders"	"Both"	"1"	"0"	"6"	"neurological"	"darkblue"	"327-328.99"	"Sleep disorders"
"327.1"	"Hypersomnia"	"Both"	"1"	"1"	"6"	"neurological"	"darkblue"	"327-328.99"	"Sleep disorders"
"327.3"	"Sleep apnea"	"Both"	"0"	"0"	"6"	"neurological"	"darkblue"	"327-328.99"	"Sleep disorders"
"327.31"	"Central/nonobstroctive sleep apnea"	"Both"	"1"	"1"	"6"	"neurological"	"darkblue"	"327-328.99"	"Sleep disorders"
"327.32"	"Obstructive sleep apnea"	"Both"	"1"	"1"	"6"	"neurological"	"darkblue"	"327-328.99"	"Sleep disorders"
"327.4"	"Insomnia"	"Both"	"1"	"0"	"6"	"neurological"	"darkblue"	"327-328.99"	"Sleep disorders"
"327.41"	"Organic or persistent insomnia"	"Both"	"1"	"1"	"6"	"neurological"	"darkblue"	"327-328.99"	"Sleep disorders"
"327.5"	"Parasomnia"	"Both"	"1"	"1"	"6"	"neurological"	"darkblue"	"327-328.99"	"Sleep disorders"
"327.6"	"Circadian rhythm sleep disorder"	"Both"	"1"	"1"	"6"	"neurological"	"darkblue"	"327-328.99"	"Sleep disorders"
"327.7"	"Sleep related movement disorders"	"Both"	"1"	"0"	"6"	"neurological"	"darkblue"	"327-328.99"	"Sleep disorders"
"327.71"	"Restless legs syndrome"	"Both"	"1"	"1"	"6"	"neurological"	"darkblue"	"327-328.99"	"Sleep disorders"
"327.72"	"Sleep related leg cramps"	"Both"	"1"	"1"	"6"	"neurological"	"darkblue"	"327-328.99"	"Sleep disorders"
"331"	"Other cerebral degenerations"	"Both"	"1"	"0"	"6"	"neurological"	"darkblue"	"330-337.99, 341-349.99"	" hereditary/degenerative nervous conditions; other diseases of CNS"
"331.1"	"Hydrocephalus"	"Both"	"1"	"1"	"6"	"neurological"	"darkblue"	"330-337.99, 341-349.99"	" hereditary/degenerative nervous conditions; other diseases of CNS"
"331.9"	"Cerebral degeneration, unspecified"	"Both"	"1"	"1"	"6"	"neurological"	"darkblue"	"330-337.99, 341-349.99"	" hereditary/degenerative nervous conditions; other diseases of CNS"
"332"	"Parkinson's disease"	"Both"	"1"	"1"	"6"	"neurological"	"darkblue"	"330-337.99, 341-349.99"	" hereditary/degenerative nervous conditions; other diseases of CNS"
"333"	"Extrapyramidal disease and abnormal movement disorders"	"Both"	"1"	"0"	"6"	"neurological"	"darkblue"	"330-337.99, 341-349.99"	" hereditary/degenerative nervous conditions; other diseases of CNS"
"333.1"	"Essential tremor"	"Both"	"1"	"1"	"6"	"neurological"	"darkblue"	"330-337.99, 341-349.99"	" hereditary/degenerative nervous conditions; other diseases of CNS"
"333.2"	"Myoclonus"	"Both"	"1"	"1"	"6"	"neurological"	"darkblue"	"330-337.99, 341-349.99"	" hereditary/degenerative nervous conditions; other diseases of CNS"
"333.3"	"Tics and choreas"	"Both"	"1"	"1"	"6"	"neurological"	"darkblue"	"330-337.99, 341-349.99"	" hereditary/degenerative nervous conditions; other diseases of CNS"
"333.4"	"Torsion dystonia"	"Both"	"1"	"1"	"6"	"neurological"	"darkblue"	"330-337.99, 341-349.99"	" hereditary/degenerative nervous conditions; other diseases of CNS"
"333.8"	"Other degenerative diseases of the basal ganglia"	"Both"	"1"	"1"	"6"	"neurological"	"darkblue"	"330-337.99, 341-349.99"	" hereditary/degenerative nervous conditions; other diseases of CNS"
"334"	"Degenerative disease of the spinal cord"	"Both"	"1"	"0"	"6"	"neurological"	"darkblue"	"330-337.99, 341-349.99"	" hereditary/degenerative nervous conditions; other diseases of CNS"
"334.1"	"Spinocerebellar disease"	"Both"	"1"	"1"	"6"	"neurological"	"darkblue"	"330-337.99, 341-349.99"	" hereditary/degenerative nervous conditions; other diseases of CNS"
"334.2"	"Anterior horn cell disease"	"Both"	"1"	"0"	"6"	"neurological"	"darkblue"	"330-337.99, 341-349.99"	" hereditary/degenerative nervous conditions; other diseases of CNS"
"334.21"	"Amyotrophic Lateral Sclerosis"	"Both"	"1"	"1"	"6"	"neurological"	"darkblue"	"330-337.99, 341-349.99"	" hereditary/degenerative nervous conditions; other diseases of CNS"
"335"	"Multiple sclerosis"	"Both"	"1"	"1"	"6"	"neurological"	"darkblue"	"330-337.99, 341-349.99"	" hereditary/degenerative nervous conditions; other diseases of CNS"
"337"	"Disorders of the autonomic nervous system"	"Both"	"1"	"0"	"6"	"neurological"	"darkblue"	"330-337.99, 341-349.99"	" hereditary/degenerative nervous conditions; other diseases of CNS"
"337.1"	"Peripheral autonomic neuropathy"	"Both"	"1"	"1"	"6"	"neurological"	"darkblue"	"330-337.99, 341-349.99"	" hereditary/degenerative nervous conditions; other diseases of CNS"
"338"	"Pain"	"Both"	"1"	"0"	"6"	"neurological"	"darkblue"	"338-338.9"	"PAIN"
"338.1"	"Acute pain"	"Both"	"1"	"1"	"6"	"neurological"	"darkblue"	"338-338.9"	"PAIN"
"338.2"	"Chronic pain"	"Both"	"1"	"1"	"6"	"neurological"	"darkblue"	"338-338.9"	"PAIN"
"339"	"Other headache syndromes"	"Both"	"1"	"1"	"6"	"neurological"	"darkblue"	"339-340.99"	"Headache; including migraine"
"340"	"Migraine"	"Both"	"1"	"0"	"6"	"neurological"	"darkblue"	"339-340.99"	"Headache; including migraine"
"340.1"	"Migrain with aura"	"Both"	"1"	"1"	"6"	"neurological"	"darkblue"	"339-340.99"	"Headache; including migraine"
"341"	"Other demyelinating diseases of central nervous system"	"Both"	"1"	"1"	"6"	"neurological"	"darkblue"	"330-337.99, 341-349.99"	" hereditary/degenerative nervous conditions; other diseases of CNS"
"342"	"Hemiplegia"	"Both"	"1"	"1"	"6"	"neurological"	"darkblue"	"330-337.99, 341-349.99"	" hereditary/degenerative nervous conditions; other diseases of CNS"
"343"	"Infantile cerebral palsy"	"Both"	"1"	"1"	"6"	"neurological"	"darkblue"	"330-337.99, 341-349.99"	" hereditary/degenerative nervous conditions; other diseases of CNS"
"344"	"Other paralytic syndromes"	"Both"	"1"	"1"	"6"	"neurological"	"darkblue"	"330-337.99, 341-349.99"	" hereditary/degenerative nervous conditions; other diseases of CNS"
"345"	"Epilepsy, recurrent seizures, convulsions"	"Both"	"1"	"0"	"6"	"neurological"	"darkblue"	"330-337.99, 341-349.99"	" hereditary/degenerative nervous conditions; other diseases of CNS"
"345.1"	"Epilepsy"	"Both"	"1"	"0"	"6"	"neurological"	"darkblue"	"330-337.99, 341-349.99"	" hereditary/degenerative nervous conditions; other diseases of CNS"
"345.11"	"Generalized convulsive epilepsy"	"Both"	"1"	"1"	"6"	"neurological"	"darkblue"	"330-337.99, 341-349.99"	" hereditary/degenerative nervous conditions; other diseases of CNS"
"345.12"	"Partial epilepsy"	"Both"	"1"	"1"	"6"	"neurological"	"darkblue"	"330-337.99, 341-349.99"	" hereditary/degenerative nervous conditions; other diseases of CNS"
"345.3"	"Convulsions"	"Both"	"1"	"1"	"6"	"neurological"	"darkblue"	"330-337.99, 341-349.99"	" hereditary/degenerative nervous conditions; other diseases of CNS"
"346"	"Abnormal findings on study of brain and/or nervous system"	"Both"	"1"	"0"	"6"	"neurological"	"darkblue"	"330-337.99, 341-349.99"	" hereditary/degenerative nervous conditions; other diseases of CNS"
"346.1"	"Nonspecific abnormal findings on radiological and other examination of skull and head"	"Both"	"0"	"1"	"6"	"neurological"	"darkblue"	"330-337.99, 341-349.99"	" hereditary/degenerative nervous conditions; other diseases of CNS"
"346.2"	"Nonspecific abnormal results of function study of brain and central nervous system"	"Both"	"1"	"1"	"6"	"neurological"	"darkblue"	"330-337.99, 341-349.99"	" hereditary/degenerative nervous conditions; other diseases of CNS"
"346.3"	"Nonspecific abnormal findings in cerebrospinal fluid"	"Both"	"0"	"1"	"6"	"neurological"	"darkblue"	"330-337.99, 341-349.99"	" hereditary/degenerative nervous conditions; other diseases of CNS"
"347"	"Cataplexy and narcolepsy"	"Both"	"1"	"1"	"6"	"neurological"	"darkblue"	"330-337.99, 341-349.99"	" hereditary/degenerative nervous conditions; other diseases of CNS"
"348"	"Other conditions of brain"	"Both"	"1"	"0"	"6"	"neurological"	"darkblue"	"330-337.99, 341-349.99"	" hereditary/degenerative nervous conditions; other diseases of CNS"
"348.2"	"Cerebral edema and compression of brain"	"Both"	"1"	"1"	"6"	"neurological"	"darkblue"	"330-337.99, 341-349.99"	" hereditary/degenerative nervous conditions; other diseases of CNS"
"348.4"	"Cerebral cysts"	"Both"	"1"	"1"	"6"	"neurological"	"darkblue"	"330-337.99, 341-349.99"	" hereditary/degenerative nervous conditions; other diseases of CNS"
"348.7"	"Coma"	"Both"	"0"	"1"	"6"	"neurological"	"darkblue"	"330-337.99, 341-349.99"	" hereditary/degenerative nervous conditions; other diseases of CNS"
"348.8"	"Encephalopathy, not elsewhere classified"	"Both"	"1"	"1"	"6"	"neurological"	"darkblue"	"330-337.99, 341-349.99"	" hereditary/degenerative nervous conditions; other diseases of CNS"
"348.9"	"Other conditions of brain, NOS"	"Both"	"0"	"1"	"6"	"neurological"	"darkblue"	"330-337.99, 341-349.99"	" hereditary/degenerative nervous conditions; other diseases of CNS"
"349"	"Other and unspecified disorders of the nervous system"	"Both"	"1"	"1"	"6"	"neurological"	"darkblue"	"330-337.99, 341-349.99"	" hereditary/degenerative nervous conditions; other diseases of CNS"
"350"	"Abnormal movement"	"Both"	"1"	"0"	"6"	"neurological"	"darkblue"	"350-350.99"	" Other symptoms, reflex"
"350.1"	"Abnormal involuntary movements"	"Both"	"1"	"1"	"6"	"neurological"	"darkblue"	"350-350.99"	" Other symptoms, reflex"
"350.2"	"Abnormality of gait"	"Both"	"1"	"1"	"6"	"neurological"	"darkblue"	"350-350.99"	" Other symptoms, reflex"
"350.3"	"Lack of coordination"	"Both"	"1"	"1"	"6"	"neurological"	"darkblue"	"350-350.99"	" Other symptoms, reflex"
"350.5"	"Abnormal reflex"	"Both"	"1"	"1"	"6"	"neurological"	"darkblue"	"350-350.99"	" Other symptoms, reflex"
"350.6"	"Disturbances of sensation of smell and taste"	"Both"	"0"	"1"	"6"	"neurological"	"darkblue"	"350-350.99"	" Other symptoms, reflex"
"351"	"Other peripheral nerve disorders"	"Both"	"1"	"1"	"6"	"neurological"	"darkblue"	"351-355.99"	" mononeuritis and nerve lesions"
"352"	"Disorders of other cranial nerves"	"Both"	"1"	"0"	"6"	"neurological"	"darkblue"	"351-355.99"	" mononeuritis and nerve lesions"
"352.1"	"Trigeminal nerve disorders [CN5]"	"Both"	"1"	"1"	"6"	"neurological"	"darkblue"	"351-355.99"	" mononeuritis and nerve lesions"
"352.2"	"Facial nerve disorders [CN7]"	"Both"	"1"	"1"	"6"	"neurological"	"darkblue"	"351-355.99"	" mononeuritis and nerve lesions"
